rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,time_ref,secs,nsecs,source
1536033173492262729,,79,,1536033173,491231283,'',,1536094229,493650000,fcu
1536033174478061973,,80,,1536033174,477898668,'',,1536094230,494651000,fcu
1536033175482482974,,81,,1536033175,482211553,'',,1536094231,495652000,fcu
1536033176493847288,,82,,1536033176,493632243,'',,1536094232,493653000,fcu
1536033177481788065,,83,,1536033177,481551682,'',,1536094233,491653000,fcu
1536033178482386816,,84,,1536033178,482206523,'',,1536094234,495654000,fcu
1536033179476143057,,85,,1536033179,475488198,'',,1536094235,493655000,fcu
1536033180481742709,,86,,1536033180,481469862,'',,1536094236,491656000,fcu
1536033181482425538,,87,,1536033181,482248994,'',,1536094237,493657000,fcu
1536033182484597302,,88,,1536033182,484378258,'',,1536094238,494657000,fcu
1536033183493590939,,89,,1536033183,492357349,'',,1536094239,490658000,fcu
1536033184478499518,,90,,1536033184,478368776,'',,1536094240,493659000,fcu
1536033185483485849,,91,,1536033185,483330944,'',,1536094241,493660000,fcu
1536033186481895079,,92,,1536033186,481688885,'',,1536094242,490660000,fcu
1536033187482799940,,93,,1536033187,482326862,'',,1536094243,491661000,fcu
1536033188483525683,,94,,1536033188,482831123,'',,1536094244,494662000,fcu
1536033189482148770,,95,,1536033189,481872586,'',,1536094245,494663000,fcu
1536033190491954308,,96,,1536033190,491339076,'',,1536094246,492663000,fcu
1536033191506286343,,97,,1536033191,505741588,'',,1536094247,492664000,fcu
1536033192482441800,,98,,1536033192,481990460,'',,1536094248,491665000,fcu
1536033193484868223,,99,,1536033193,484271353,'',,1536094249,491666000,fcu
1536033194477807725,,100,,1536033194,477594906,'',,1536094250,491667000,fcu
1536033195493524218,,101,,1536033195,492553999,'',,1536094251,491667000,fcu
1536033196492629170,,102,,1536033196,492330311,'',,1536094252,491668000,fcu
1536033197476971680,,103,,1536033197,476581955,'',,1536094253,492669000,fcu
1536033198483228891,,104,,1536033198,482832790,'',,1536094254,491670000,fcu
1536033199482338431,,105,,1536033199,482040696,'',,1536094255,493670000,fcu
1536033200482132294,,106,,1536033200,481886898,'',,1536094256,498671000,fcu
1536033201484270182,,107,,1536033201,483061105,'',,1536094257,491672000,fcu
1536033202491986477,,108,,1536033202,491753357,'',,1536094258,491673000,fcu
1536033203482138189,,109,,1536033203,481906069,'',,1536094259,494673000,fcu
1536033204477235099,,110,,1536033204,476951414,'',,1536094260,494674000,fcu
1536033205480114324,,111,,1536033205,479833990,'',,1536094261,494675000,fcu
1536033206482043344,,112,,1536033206,481498088,'',,1536094262,494676000,fcu
1536033207492241994,,113,,1536033207,491421005,'',,1536094263,491677000,fcu
1536033208482024381,,114,,1536033208,481753948,'',,1536094264,492677000,fcu
1536033209482765225,,115,,1536033209,482559618,'',,1536094265,493678000,fcu
1536033210482760944,,116,,1536033210,482538724,'',,1536094266,492679000,fcu
1536033211482240971,,117,,1536033211,482004863,'',,1536094267,497680000,fcu
1536033212482331031,,118,,1536033212,482015671,'',,1536094268,494680000,fcu
1536033213482276286,,119,,1536033213,481891711,'',,1536094269,491681000,fcu
1536033214478239236,,120,,1536033214,477917088,'',,1536094270,495682000,fcu
1536033215481733569,,121,,1536033215,481444785,'',,1536094271,494683000,fcu
1536033216482725171,,122,,1536033216,482131664,'',,1536094272,493684000,fcu
1536033217503326660,,123,,1536033217,502724465,'',,1536094273,494684000,fcu
1536033218482775423,,124,,1536033218,482302545,'',,1536094274,495685000,fcu
1536033219483498178,,125,,1536033219,482995000,'',,1536094275,492686000,fcu
1536033220482453851,,126,,1536033220,482313072,'',,1536094276,494687000,fcu
1536033221475655399,,127,,1536033221,475338714,'',,1536094277,491687000,fcu
1536033222483005933,,128,,1536033222,482741799,'',,1536094278,494688000,fcu
1536033223482953413,,129,,1536033223,482831384,'',,1536094279,494689000,fcu
1536033224474987660,,130,,1536033224,474769003,'',,1536094280,491690000,fcu
1536033225483635936,,131,,1536033225,482611415,'',,1536094281,494690000,fcu
1536033226482416715,,132,,1536033226,482268373,'',,1536094282,491691000,fcu
1536033227482506100,,133,,1536033227,481678186,'',,1536094283,496692000,fcu
1536033228483549228,,134,,1536033228,482631236,'',,1536094284,493693000,fcu
1536033229492568266,,135,,1536033229,492186241,'',,1536094285,499694000,fcu
1536033230492454231,,136,,1536033230,492308277,'',,1536094286,494694000,fcu
1536033231492995693,,137,,1536033231,492659207,'',,1536094287,495695000,fcu
1536033232482325740,,138,,1536033232,481915515,'',,1536094288,494696000,fcu
1536033233482085839,,139,,1536033233,481541422,'',,1536094289,494697000,fcu
1536033234481810075,,140,,1536033234,480576122,'',,1536094290,495697000,fcu
1536033235505061700,,141,,1536033235,504267449,'',,1536094291,498698000,fcu
1536033236483246047,,142,,1536033236,482929287,'',,1536094292,493699000,fcu
1536033237483043947,,143,,1536033237,482780926,'',,1536094293,494700000,fcu
1536033238483142582,,144,,1536033238,482674667,'',,1536094294,491701000,fcu
1536033239505218119,,145,,1536033239,504822432,'',,1536094295,494701000,fcu
1536033240483090019,,146,,1536033240,482928401,'',,1536094296,497702000,fcu
1536033241482731752,,147,,1536033241,482278824,'',,1536094297,495703000,fcu
1536033242492917177,,148,,1536033242,492575279,'',,1536094298,495704000,fcu
1536033243481827573,,149,,1536033243,481420135,'',,1536094299,492704000,fcu
1536033244477044662,,150,,1536033244,476788516,'',,1536094300,495705000,fcu
1536033245482430119,,151,,1536033245,482143397,'',,1536094301,495706000,fcu
1536033246482268808,,152,,1536033246,481991949,'',,1536094302,490707000,fcu
1536033247482342479,,153,,1536033247,481887765,'',,1536094303,495707000,fcu
1536033248481531385,,154,,1536033248,481295277,'',,1536094304,494708000,fcu
1536033249482470972,,155,,1536033249,482145712,'',,1536094305,494709000,fcu
1536033250483589778,,156,,1536033250,483252179,'',,1536094306,495710000,fcu
1536033251483482756,,157,,1536033251,482381508,'',,1536094307,495711000,fcu
1536033252491731743,,158,,1536033252,491503561,'',,1536094308,491711000,fcu
1536033253477747883,,159,,1536033253,476898555,'',,1536094309,495712000,fcu
1536033254477671575,,160,,1536033254,477443817,'',,1536094310,491713000,fcu
1536033255491937095,,161,,1536033255,491666249,'',,1536094311,493714000,fcu
1536033256502690864,,162,,1536033256,502396467,'',,1536094312,493714000,fcu
1536033257482888277,,163,,1536033257,481918283,'',,1536094313,490715000,fcu
1536033258502691465,,164,,1536033258,501810862,'',,1536094314,499716000,fcu
1536033259481612512,,165,,1536033259,481015142,'',,1536094315,492717000,fcu
1536033260492968750,,166,,1536033260,492636827,'',,1536094316,494717000,fcu
1536033261502564219,,167,,1536033261,502145480,'',,1536094317,492718000,fcu
1536033262482317605,,168,,1536033262,481782737,'',,1536094318,490719000,fcu
1536033263482657372,,169,,1536033263,482380551,'',,1536094319,491720000,fcu
1536033264481628658,,170,,1536033264,481453278,'',,1536094320,496721000,fcu
1536033265481733006,,171,,1536033265,481532724,'',,1536094321,492721000,fcu
1536033266482315519,,172,,1536033266,481974520,'',,1536094322,496722000,fcu
1536033267482757815,,173,,1536033267,482399629,'',,1536094323,492723000,fcu
1536033268502208029,,174,,1536033268,501961459,'',,1536094324,491724000,fcu
1536033269482522784,,175,,1536033269,482275963,'',,1536094325,498725000,fcu
