rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,coordinate_frame,type_mask,position,x,y,z,velocity,x,y,z,acceleration_or_force,x,y,z,yaw,yaw_rate
1536033391124550464,,2689,,1536033391,118707776,'',1,0,,-0.0796108469367,-0.118710555136,1.07339644432,,0.0489367768168,0.112308524549,-0.497087359428,,-0.0495209954679,0.384261459112,6.33307170868,0.368525952101,0.0
1536033391223287513,,2690,,1536033391,218707776,'',1,0,,-0.0796108469367,-0.118710555136,1.04643702507,,0.0638234913349,0.146315664053,-0.00689005851746,,-0.0519017800689,0.291142940521,7.18442296982,0.368541091681,0.0
1536033391332559329,,2691,,1536033391,319707776,'',1,0,,-0.0796108469367,-0.118710555136,1.04643702507,,0.0779455751181,0.171765431762,0.00201117992401,,-0.0465708225966,0.2673189044,6.99771976471,0.368541091681,0.0
1536033391433751182,,2692,,1536033391,418706752,'',1,0,,-0.0796108469367,-0.118710555136,1.03938496113,,0.0913481935859,0.190721556544,0.161022782326,,-0.0217656586319,0.261301338673,7.19473695755,0.368541091681,0.0
1536033391522269760,,2693,,1536033391,519711360,'',1,0,,-0.0796108469367,-0.118710555136,1.03780925274,,0.105079159141,0.204845488071,0.341812908649,,-0.00984570477158,0.237723916769,7.34765481949,0.368541091681,0.0
1536033391623155529,,2694,,1536033391,615708032,'',1,0,,-0.0796108469367,-0.118710555136,1.04241514206,,0.117856867611,0.213705167174,0.30891379714,,-0.00566478446126,0.225475281477,7.09946584702,0.368541091681,0.0
1536033391722497459,,2695,,1536033391,715710848,'',1,0,,-0.0796108469367,-0.118710555136,1.05044937134,,0.130583927035,0.218192830682,0.286180585623,,0.0152907827869,0.189909234643,6.97499465942,0.368541091681,0.0
1536033391832686555,,2696,,1536033391,819710848,'',1,0,,-0.0796108469367,-0.118710555136,1.06121885777,,0.14234739542,0.217937454581,0.36279040575,,0.0123400976881,0.161721229553,7.04588651657,0.368541091681,0.0
1536033391932128989,,2697,,1536033391,920714944,'',1,0,,-0.0796108469367,-0.118710555136,1.07644939423,,0.151412963867,0.213709935546,0.876930892467,,-0.0128060346469,0.149479925632,7.94582223892,0.370666235685,0.0
1536033392053513574,,2698,,1536033392,20712128,'',1,0,,-0.0796108469367,-0.118710555136,1.10893666744,,0.157718405128,0.206080406904,1.44132387638,,-0.0296475999057,0.116685628891,8.51647853851,0.403994888067,0.0
1536033392122019451,,2699,,1536033392,120711104,'',1,0,,-0.0796108469367,-0.118710555136,1.17414402962,,0.16135366261,0.194947123528,1.47136080265,,-0.0290531590581,0.0824605748057,7.98458099365,0.456505388021,0.0
1536033392222756165,,2700,,1536033392,220711104,'',1,0,,-0.0796108469367,-0.118710555136,1.26470673084,,0.163277000189,0.181962937117,0.872541904449,,-0.016973009333,0.0599325634539,6.47391748428,0.517696321011,0.0
1536033392332560435,,2701,,1536033392,320708288,'',1,0,,-0.0796108469367,-0.118710555136,1.3581597805,,0.16399794817,0.16770786047,0.227252036333,,-0.0167961828411,0.0592827051878,5.39018440247,0.567090928555,0.0
1536033392432770332,,2702,,1536033392,420701888,'',1,0,,-0.0796108469367,-0.118710555136,1.43150746822,,0.163579881191,0.153036475182,-0.699999988079,,-0.0242965389043,0.0325520597398,4.19475698471,0.591892242432,0.0
1536033392522978215,,2703,,1536033392,517697792,'',1,0,,-0.0796108469367,-0.118710555136,1.465944767,,0.161888226867,0.138732388616,-0.699999988079,,-0.0337733738124,0.016022587195,4.95059490204,0.605870068073,0.0
